Id,DateTime,Day,Category,MenuItem
0,2019-09-14 09:00:00,Saturday,icecekler,Şalgam Suyu (33 cl.)
0,2019-09-14 09:00:00,Saturday,tatlilar,Baklava
0,2019-09-14 09:00:00,Saturday,pideler,Kavurmalı Pide
1,2019-09-14 09:08:00,Saturday,icecekler,Sprite (33 cl.)
1,2019-09-14 09:08:00,Saturday,durumler,Şefin Dürümü (Spesiyal)
2,2019-09-14 09:22:00,Saturday,baslangiclar,Kızartma İçli Köfte (Adet)
2,2019-09-14 09:22:00,Saturday,icecekler,Şalgam Suyu (33 cl.)
2,2019-09-14 09:22:00,Saturday,pideler,Kuşbaşılı Kaşarlı Pide
3,2019-09-14 09:42:00,Saturday,icecekler,Cappy (33 cl.)
3,2019-09-14 09:42:00,Saturday,durumler,Şefin Dürümü (Spesiyal)
4,2019-09-14 09:45:00,Saturday,baslangiclar,Kızartma İçli Köfte (Adet)
4,2019-09-14 09:45:00,Saturday,icecekler,Coca-Cola (33 cl.)
4,2019-09-14 09:45:00,Saturday,tatlilar,Kazandibi
4,2019-09-14 09:45:00,Saturday,durumler,Urfa Dürüm
5,2019-09-14 10:00:00,Saturday,corbalar,Domates Çorbası
5,2019-09-14 10:00:00,Saturday,icecekler,Cappy (33 cl.)
5,2019-09-14 10:00:00,Saturday,tatlilar,Fırın Sütlaç
5,2019-09-14 10:00:00,Saturday,durumler,Çöp Şiş Dürüm
6,2019-09-14 10:20:00,Saturday,corbalar,Tavuk Suyu Çorbası
6,2019-09-14 10:20:00,Saturday,icecekler,Fanta (33 cl.)
6,2019-09-14 10:20:00,Saturday,tatlilar,Kazandibi
6,2019-09-14 10:20:00,Saturday,durumler,Çöp Şiş Dürüm
7,2019-09-14 10:25:00,Saturday,tatlilar,Fırın Sütlaç
7,2019-09-14 10:25:00,Saturday,kebaplar,Alinazik Kebap (Kıymadan)
8,2019-09-14 10:35:00,Saturday,durumler,Şefin Dürümü (Spesiyal)
9,2019-09-14 10:46:00,Saturday,icecekler,Ayran (30 cl.)
9,2019-09-14 10:46:00,Saturday,pideler,Kıymalı Pide
10,2019-09-14 10:56:00,Saturday,corbalar,Yayla Çorbası
10,2019-09-14 10:56:00,Saturday,icecekler,Sprite (33 cl.)
10,2019-09-14 10:56:00,Saturday,kebaplar,Alinazik Kebap (Kıymadan)
11,2019-09-14 11:12:00,Saturday,corbalar,Domates Çorbası
11,2019-09-14 11:12:00,Saturday,icecekler,Sprite (33 cl.)
11,2019-09-14 11:12:00,Saturday,izgaralar,Kuzu Şiş
12,2019-09-14 11:27:00,Saturday,baslangiclar,Kuruluk Dolması
12,2019-09-14 11:27:00,Saturday,icecekler,Coca-Cola Şekersiz (33 cl.)
12,2019-09-14 11:27:00,Saturday,kebaplar,Alinazik Kebap (Kıymadan)
13,2019-09-14 11:44:00,Saturday,icecekler,Ayran (30 cl.)
13,2019-09-14 11:44:00,Saturday,tatlilar,Baklava
13,2019-09-14 11:44:00,Saturday,izgaralar,Çöp Şiş
14,2019-09-14 11:49:00,Saturday,corbalar,Tavuk Suyu Çorbası
14,2019-09-14 11:49:00,Saturday,icecekler,Şalgam Suyu (33 cl.)
14,2019-09-14 11:49:00,Saturday,tatlilar,Baklava
14,2019-09-14 11:49:00,Saturday,pideler,Kuşbaşılı Pide
15,2019-09-14 11:55:00,Saturday,corbalar,Tarhana Çorbası
15,2019-09-14 11:55:00,Saturday,icecekler,Ayran (30 cl.)
